placement,np,threads,iterations,population,features,gather_time,total_time,computation_time,trial,execution
pack,32,1,1000,128,100,0.0010888577,212.944564104,212.9313933849,1,2
pack,32,1,1000,128,100,0.0011754036,274.18164563180005,274.1665277481,1,3
pack,32,1,1000,128,100,0.0,6.8308238983,6.7872152328,2,1
pack,32,1,1000,128,100,0.0,6.7769875526,6.7649013996,2,2
pack,32,1,1000,128,100,0.0,6.7708940506,6.7612345219,2,3
pack,32,1,1000,128,100,0.0,7.6651787758,7.4577612877,3,1
pack,32,2,1000,128,100,0.0,7.6358859539,7.5472698212,3,1
pack,32,4,1000,128,100,0.0,15.4722678661,15.4446008205,3,1
pack,32,1,1000,128,100,0.0,7.4740586281,7.3502576351,3,2
pack,32,2,1000,128,100,0.0,5.7218439579,5.6184101105,3,2
pack,32,4,1000,128,100,0.0,15.5188157558,15.4756045341,3,2
pack,32,1,1000,128,100,0.0,7.3054466248,7.2792961597,3,3
pack,32,2,1000,128,100,0.0,5.6342837811,5.5867912769,3,3
pack,32,4,1000,128,100,0.0,15.4377281666,15.4036152363,3,3
pack,64,1,1000,128,100,0.0,220.3186178207,220.2945427895,0,1
pack,64,1,1000,128,100,0.0,219.735935688,219.7020721436,0,2
pack,64,1,1000,128,100,0.0,218.4589004517,218.4437155724,0,3
pack,64,1,1000,128,100,0.0018613338,220.2718846798,220.1630821228,1,1
pack,64,1,1000,128,100,0.064994812,257.7271139622,257.5768547058,1,2
pack,64,1,1000,128,100,0.0621387959,255.5221128463,255.33028578749997,1,3
pack,64,1,1000,128,100,0.0,3.2582697868,3.1889500618,2,1
pack,64,1,1000,128,100,0.0,3.2085075378,3.1834294796,2,2
pack,64,1,1000,128,100,0.0,3.2675879002,3.2071743011,2,3
pack,64,1,1000,128,100,0.0,4.6377305984,4.3342933655,3,1
pack,64,2,1000,128,100,0.0,13.0628521442,13.0338888168,3,1
pack,64,4,1000,128,100,0.0,110.709297657,110.3222379684,3,1
pack,64,1,1000,128,100,0.0,4.4506297112,4.3251276016,3,2
pack,64,2,1000,128,100,0.0,13.22301507,13.1787574291,3,2
pack,64,4,1000,128,100,0.0,58.3901495934,58.0077152252,3,2
pack,64,1,1000,128,100,0.0,4.4632987976,4.3520824909,3,3
pack,64,2,1000,128,100,0.0,41.9204761982,41.7680227757,3,3
scatter,1,1,1000,128,100,0.0,213.1233534813,213.0883066654,0,1
scatter,1,1,1000,128,100,0.0,213.1681168079,213.1611838341,0,2
scatter,1,1,1000,128,100,0.0,213.2261209488,213.220208168,0,3
scatter,1,1,1000,128,100,0.0001161098,214.00797820100001,213.9704699517,1,1
scatter,1,1,1000,128,100,0.0001111031,214.17366743079998,214.1657099723,1,2
scatter,1,1,1000,128,100,0.0001103878,214.0254778862,213.995038271,1,3
scatter,1,1,1000,128,100,0.0,181.8545641899,181.8010792732,2,1
scatter,1,1,1000,128,100,0.0,181.2958948612,181.2862248421,2,2
scatter,1,1,1000,128,100,0.0,181.986130476,181.9729468822,2,3
scatter,1,1,1000,128,100,0.0,205.4218862057,205.4125034809,3,1
scatter,1,2,1000,128,100,0.0,152.1419808865,152.1305243969,3,1
scatter,1,4,1000,128,100,0.0,169.3967475891,169.3832368851,3,1
scatter,1,1,1000,128,100,0.0,236.6028418541,236.5925180912,3,2
scatter,1,2,1000,128,100,0.0,189.2033765316,189.1767251492,3,2
scatter,1,4,1000,128,100,0.0,121.8562850952,121.846997261,3,2
scatter,1,1,1000,128,100,0.0,205.1616368294,205.153444767,3,3
scatter,1,2,1000,128,100,0.0,170.944978714,170.9328508377,3,3
scatter,1,4,1000,128,100,0.0,128.1608016491,128.1470735073,3,3
scatter,2,1,1000,128,100,0.0,179.4733867645,179.4444382191,0,1
scatter,2,1,1000,128,100,0.0,179.5742332935,179.5680322647,0,2
scatter,2,1,1000,128,100,0.0,179.4418771267,179.4365131855,0,3
scatter,2,1,1000,128,100,0.0002532005,214.9488713742,214.9416329861,1,1
scatter,2,1,1000,128,100,0.0001571178,246.3917758465,246.3856437207,1,2
scatter,2,1,1000,128,100,0.0002229214,190.4452438354,190.4221570492,1,3
scatter,2,1,1000,128,100,0.0,96.4339911938,96.385566473,2,1
scatter,2,1,1000,128,100,0.0,96.3502218723,96.3420259953,2,2
scatter,2,1,1000,128,100,0.0,96.3703651428,96.3634722233,2,3
scatter,2,1,1000,128,100,0.0,118.8327758312,118.8244717121,3,1
scatter,2,2,1000,128,100,0.0,74.0361514091,74.0210180283,3,1
scatter,2,4,1000,128,100,0.0,102.2592868805,102.2507839203,3,1
scatter,2,1,1000,128,100,0.0,103.3009886742,103.2621855736,3,2
scatter,2,2,1000,128,100,0.0,104.7108433247,104.7037816048,3,2
scatter,2,4,1000,128,100,0.0,112.2713518143,112.2625772953,3,2
scatter,2,1,1000,128,100,0.0,104.1176047325,104.1091623306,3,3
scatter,2,2,1000,128,100,0.0,108.4223821163,108.4144191742,3,3
scatter,2,4,1000,128,100,0.0,106.3645453453,106.2909185886,3,3
scatter,4,1,1000,128,100,0.0,179.7479047775,179.7438745499,0,1
scatter,4,1,1000,128,100,0.0,196.1625936031,196.1292676926,0,2
scatter,4,1,1000,128,100,0.0,196.1620535851,196.1357851028,0,3
scatter,4,1,1000,128,100,0.0002553463,264.6910438538,264.68564224240004,1,1
scatter,4,1,1000,128,100,0.0003652573,190.7230594158,190.7151010036,1,2
scatter,4,1,1000,128,100,0.0003736019,214.83258461949998,214.8246874809,1,3
