placement,np,iterations,population,features,total_time,computation_time,trial,execution,gather_time,speedup,efficiency,reference_time
pack,1,1000,128,100,237.0898241997,237.0473849773,0,1,,1.0,100.0,237.0473849773
pack,1,1000,128,100,234.8773856163,234.869571209,0,2,,1.0092724389842824,100.92724389842824,237.0473849773
pack,1,1000,128,100,235.1943352222,235.1882631779,0,3,,1.007904823881427,100.79048238814269,237.0473849773
pack,1,1000,128,100,244.99868178370002,244.9839501381,1,1,0.0001032352,0.9676037342188087,96.76037342188087,237.0473849773
pack,1,1000,128,100,239.0330049992,239.024358511,1,2,0.0001027584,0.991728987179317,99.1728987179317,237.0473849773
pack,1,1000,128,100,237.55401062960001,237.5433719158,1,3,0.0001084805,0.9979120152479951,99.7912015247995,237.0473849773
pack,1,1000,128,100,237.058788538,236.9801478386,2,1,,1.0002837247732066,100.02837247732066,237.0473849773
pack,1,1000,128,100,237.1447916031,237.1336050034,2,2,,0.9996364073911045,99.96364073911045,237.0473849773
pack,1,1000,128,100,236.7404227257,236.7285001278,2,3,,1.001347048831585,100.13470488315849,237.0473849773
pack,2,1000,128,100,214.1641120911,214.1502673626,0,1,,1.1069207986368306,55.34603993184153,237.0473849773
pack,2,1000,128,100,214.0180695057,214.0012364388,0,2,,1.1076916606745435,55.384583033727175,237.0473849773
pack,2,1000,128,100,214.4374392033,214.4308092594,0,3,,1.1054726034752795,55.273630173763976,237.0473849773
pack,2,1000,128,100,214.402974844,214.3950462342,1,1,0.0002133846,1.1056570062647582,55.28285031323791,237.0473849773
pack,2,1000,128,100,214.8202149868,214.8109147549,1,2,0.0002193451,1.1035164821479015,55.17582410739508,237.0473849773
pack,2,1000,128,100,214.9637253285,214.9194376469,1,3,0.0002045631,1.1029592649816762,55.14796324908381,237.0473849773
pack,2,1000,128,100,99.3204193115,99.2778155804,2,1,,2.3877175740770356,119.38587870385177,237.0473849773
pack,2,1000,128,100,99.7521157265,99.7443473339,2,2,,2.37654956208967,118.8274781044835,237.0473849773
pack,2,1000,128,100,99.32305336,99.3047842979,2,3,,2.3870691291790345,119.35345645895173,237.0473849773
pack,4,1000,128,100,215.184376955,215.1572828293,0,1,,1.101740000896772,27.5435000224193,237.0473849773
pack,4,1000,128,100,214.2344226837,214.2081041336,0,2,,1.1066219270091449,27.665548175228622,237.0473849773
pack,4,1000,128,100,214.4175839424,214.4107272625,0,3,,1.1055761435251616,27.639403588129042,237.0473849773
pack,4,1000,128,100,196.21795606610002,196.2073636055,1,1,0.0002548695,1.208147240864589,30.203681021614727,237.0473849773
pack,4,1000,128,100,190.75668096549998,190.7196872235,1,2,0.0003404617,1.24290988742819,31.072747185704753,237.0473849773
pack,4,1000,128,100,215.42520666119998,215.39236116409998,1,3,0.0003569126,1.1005375664028392,27.51343916007098,237.0473849773
pack,4,1000,128,100,47.1655693054,47.1332406998,2,1,,5.029303766467003,125.73259416167508,237.0473849773
pack,4,1000,128,100,47.0092813969,47.0014960766,2,2,,5.043400843900277,126.08502109750692,237.0473849773
pack,4,1000,128,100,47.081918478,47.0740354061,2,3,,5.035629151661441,125.89072879153602,237.0473849773
pack,16,1000,128,100,243.5346164703,243.5223762989,0,1,,0.973411103242305,6.083819395264406,237.0473849773
pack,16,1000,128,100,241.1859424114,241.1766614914,0,2,,0.9828786231281037,6.1429913945506485,237.0473849773
